Symbol	BB_001	BB_004	BB_005	MP_001	MP_004	MP_005	SS_001	SS_003	SS_004	SS_005	SS_006	SS_007
PIN1P1	0	0	1	0	0	1	0	0	0	1	0	2
PIN4	40	0	15	15	0	4	15	19	14	13	20	18
PINK1	123	199	157	115	56	108	113	95	59	197	163	189
PINK1-AS1	118	31	163	121	91	128	40	70	23	140	149	211
PINX1	53	0	68	68	63	72	44	68	36	68	111	107
PION	328	0	173	287	94	220	343	280	94	153	133	239
PIP	0	0	0	2	0	0	13	16	0	0	0	0
PIP4K2A	3037	1754	1863	2508	1207	1067	3493	2383	896	2047	2278	1563
PIP4K2B	549	330	623	339	376	428	589	504	209	653	885	776
PIP4K2C	201	189	115	137	134	108	201	221	47	192	221	139
PIP5K1A	336	135	210	188	86	208	220	288	11	202	235	261
PIP5K1B	0	0	0	0	0	0	0	9	0	0	1	7
PIP5K1C	274	197	254	193	334	227	229	229	73	354	417	306
PIP5K1P1	0	0	0	0	0	0	0	0	0	0	1	0
PIP5KL1	29	0	28	14	13	5	24	41	0	52	10	29
PIPOX	0	0	8	0	0	9	7	1	0	3	0	3
PIPSL	1	0	0	0	0	1	1	0	1	0	0	0
PIR	1	0	0	0	0	0	0	0	0	0	0	0
PISD	325	78	188	192	168	183	227	232	78	240	225	185
PITHD1	384	178	299	256	85	196	258	323	248	353	398	382
PITPNA	241	107	183	177	188	112	224	185	42	245	337	205
PITPNB	270	373	293	228	111	198	283	272	80	248	462	394
PITPNC1	867	1113	728	708	770	617	792	594	410	997	763	876
PITPNM1	500	332	519	370	1083	481	394	449	146	921	945	511
PITPNM2	45	0	411	26	89	502	49	99	16	482	310	846
PITPNM3	22	0	2	0	5	12	3	8	0	3	8	10
PITRM1	606	207	481	505	176	433	459	547	94	490	492	622
PIWIL2	10	0	12	8	0	14	6	0	0	21	13	22
PIWIL4	12	0	10	10	0	24	11	23	13	23	25	16
PJA1	123	184	159	80	75	114	121	95	72	180	167	149
PJA2	736	381	909	819	136	625	712	831	490	709	1160	1246
PKD1	1278	651	1131	787	1393	1496	1156	987	366	1802	1376	1396
PKD1L1	13	0	18	12	8	16	9	6	9	4	8	20
PKD1L2	1	0	0	4	0	6	0	0	0	0	3	4
PKD1L3	0	0	0	0	12	0	0	0	0	2	0	0
PKD1P1	8	0	0	2	8	3	0	3	0	1	1	3
PKD1P6	57	41	57	45	26	40	54	59	0	73	80	96
PKD2	117	44	98	234	149	158	197	247	6	177	178	217
PKD2L1	0	0	0	0	0	0	0	0	0	0	0	1
PKD2L2	0	0	0	0	0	1	0	0	0	0	0	0
PKDCC	0	29	0	8	0	0	0	2	0	0	1	0
PKHD1	0	0	0	0	0	0	0	6	0	0	0	0
PKHD1L1	4	0	2	4	0	3	4	25	0	0	0	1
PKIA	14	0	121	8	0	60	3	113	10	58	248	220
PKIB	8	0	0	0	0	0	5	1	0	3	4	4
PKIG	5	32	24	4	0	13	8	9	0	21	4	10
PKLR	0	0	0	0	0	0	0	0	13	0	0	0
PKM2	1168	2114	1535	636	1038	1027	865	1223	1099	1405	2782	1793
PKMYT1	2	0	0	0	5	0	4	0	0	0	0	0
PKN1	1323	1735	1458	668	1994	1174	1117	958	828	1827	1696	1327
PKN2	515	187	397	574	132	306	453	388	78	328	416	538
PKN3	13	0	13	40	55	11	24	7	15	33	20	22
PKNOX1	116	63	89	109	38	81	70	113	8	89	126	116
PKP1	5	0	0	1	0	0	1	8	0	0	0	0
PKP2	3	0	5	0	0	0	22	12	0	2	6	2
PKP3	9	46	4	2	0	0	19	18	0	3	0	0
PKP4	175	118	81	133	89	111	188	265	53	121	287	231
PLA1A	0	0	0	0	0	0	4	0	0	0	0	0
PLA2G10	0	0	0	0	0	0	0	0	0	0	0	2
PLA2G12A	53	0	70	37	34	44	36	44	28	36	44	74
PLA2G12AP1	1	0	3	0	0	3	0	0	0	8	0	1
PLA2G15	40	67	52	23	38	50	14	22	27	59	52	39
PLA2G16	180	78	21	61	67	13	114	58	66	46	11	5
PLA2G2A	21	0	0	2	0	0	0	0	0	0	0	0
PLA2G2C	0	0	0	0	3	0	0	0	0	0	0	2
PLA2G2D	0	0	0	0	0	0	0	0	0	0	0	2
PLA2G4A	2	0	0	0	0	4	2	2	14	0	2	0
PLA2G4B	49	90	48	24	59	41	46	43	114	49	29	42
PLA2G4C	0	0	0	0	0	0	10	23	0	36	18	12
PLA2G4E	0	0	0	0	0	3	0	0	0	0	0	0
PLA2G4F	0	0	0	0	0	0	2	0	0	0	0	0
PLA2G5	1	0	0	0	0	0	0	0	0	0	0	0
PLA2G6	444	128	241	279	207	241	425	404	95	316	315	303
PLA2G7	7	0	0	0	0	0	0	0	9	0	0	0
